type,table_name,column_name,full_type,is_nullable,col_default
COL,account_invoice_items,id,uuid,NO,gen_random_uuid()
COL,account_invoice_items,tenant_id,uuid,NO,null
COL,account_invoice_items,invoice_id,uuid,NO,null
COL,account_invoice_items,line_number,integer,YES,1
COL,account_invoice_items,product_id,uuid,YES,null
COL,account_invoice_items,description,text,NO,null
COL,account_invoice_items,quantity,numeric,NO,1
COL,account_invoice_items,unit,character varying(50),YES,null
COL,account_invoice_items,unit_price,numeric,NO,0
COL,account_invoice_items,discount_type,character varying(20),YES,'fixed'::character varying
COL,account_invoice_items,discount_value,numeric,YES,0
COL,account_invoice_items,discount_amount,numeric,YES,0
COL,account_invoice_items,tax_rate,numeric,YES,0
COL,account_invoice_items,tax_amount,numeric,YES,0
COL,account_invoice_items,subtotal,numeric,NO,0
COL,account_invoice_items,total,numeric,NO,0
COL,account_invoice_items,sub_account_id,uuid,YES,null
COL,account_invoice_items,notes,text,YES,null
COL,account_invoice_items,created_at,timestamp with time zone,YES,now()
COL,account_invoice_items,updated_at,timestamp with time zone,YES,now()
COL,account_invoices,id,uuid,NO,gen_random_uuid()
COL,account_invoices,tenant_id,uuid,NO,null
COL,account_invoices,company_id,uuid,NO,null
COL,account_invoices,branch_id,uuid,YES,null
COL,account_invoices,invoice_number,character varying(50),NO,null
COL,account_invoices,invoice_date,date,NO,CURRENT_DATE
COL,account_invoices,due_date,date,YES,null
COL,account_invoices,invoice_type,character varying(30),NO,'receivable'::character varying
COL,account_invoices,account_id,uuid,YES,null
COL,account_invoices,party_type,character varying(20),YES,null
COL,account_invoices,party_id,uuid,YES,null
COL,account_invoices,party_name,character varying(200),YES,null
COL,account_invoices,currency,character varying(3),YES,'USD'::character varying
COL,account_invoices,exchange_rate,numeric,YES,1
COL,account_invoices,subtotal,numeric,YES,0
COL,account_invoices,discount_amount,numeric,YES,0
COL,account_invoices,tax_amount,numeric,YES,0
COL,account_invoices,total_amount,numeric,NO,0
COL,account_invoices,paid_amount,numeric,YES,0
COL,account_invoices,debit_amount,numeric,YES,0
COL,account_invoices,credit_amount,numeric,YES,0
COL,account_invoices,status,character varying(20),YES,'draft'::character varying
COL,account_invoices,payment_status,character varying(20),YES,'unpaid'::character varying
COL,account_invoices,journal_entry_id,uuid,YES,null
COL,account_invoices,is_posted,boolean,YES,false
COL,account_invoices,posted_at,timestamp with time zone,YES,null
COL,account_invoices,posted_by,uuid,YES,null
COL,account_invoices,description,text,YES,null
COL,account_invoices,notes,text,YES,null
COL,account_invoices,internal_notes,text,YES,null
COL,account_invoices,attachment_url,text,YES,null
COL,account_invoices,cancelled_at,timestamp with time zone,YES,null
COL,account_invoices,cancelled_by,uuid,YES,null
COL,account_invoices,cancel_reason,text,YES,null
COL,account_invoices,created_by,uuid,YES,null
COL,account_invoices,created_at,timestamp with time zone,YES,now()
COL,account_invoices,updated_at,timestamp with time zone,YES,now()
COL,account_transfers,id,uuid,NO,gen_random_uuid()
COL,account_transfers,tenant_id,uuid,NO,null
COL,account_transfers,company_id,uuid,NO,null
COL,account_transfers,source_account_id,uuid,NO,null
COL,account_transfers,target_account_id,uuid,NO,null
COL,account_transfers,transfer_type,character varying(20),NO,null
COL,account_transfers,amount,numeric,YES,null
COL,account_transfers,journal_entry_id,uuid,YES,null
COL,account_transfers,notes,text,YES,null
COL,account_transfers,created_by,uuid,YES,null
COL,account_transfers,created_at,timestamp with time zone,YES,now()
COL,account_transfers,updated_at,timestamp with time zone,YES,now()
COL,account_types,id,uuid,NO,gen_random_uuid()
COL,account_types,code,character varying(20),NO,null
COL,account_types,name_ar,character varying(100),NO,null
COL,account_types,name_en,character varying(100),YES,null
COL,account_types,classification,character varying(50),NO,null
COL,account_types,normal_balance,character varying(10),NO,null
COL,account_types,display_order,integer,YES,0
COL,account_types,is_system,boolean,YES,true
COL,account_types,name_ru,character varying(100),YES,null
COL,account_types,name_uk,character varying(100),YES,null
COL,account_types,name_ro,character varying(100),YES,null
COL,account_types,name_pl,character varying(100),YES,null
COL,account_types,name_tr,character varying(100),YES,null
COL,account_types,name_de,character varying(100),YES,null
COL,account_types,name_it,character varying(100),YES,null
COL,account_types,created_at,timestamp with time zone,YES,now()
COL,account_types,updated_at,timestamp with time zone,YES,now()
COL,accounting_periods,id,uuid,NO,gen_random_uuid()
COL,accounting_periods,tenant_id,uuid,NO,null
COL,accounting_periods,company_id,uuid,NO,null
COL,accounting_periods,fiscal_year_id,uuid,NO,null
COL,accounting_periods,name,character varying(100),NO,null
COL,accounting_periods,period_number,integer,NO,null
COL,accounting_periods,start_date,date,NO,null
COL,accounting_periods,end_date,date,NO,null
COL,accounting_periods,is_closed,boolean,YES,false
COL,accounting_periods,closed_at,timestamp with time zone,YES,null
COL,accounting_periods,closed_by,uuid,YES,null
COL,accounting_periods,created_at,timestamp with time zone,YES,now()
COL,accounting_periods,updated_at,timestamp with time zone,YES,now()
COL,accounts,id,uuid,NO,uuid_generate_v4()
COL,accounts,company_id,uuid,YES,null
COL,accounts,code,character varying(20),NO,null
COL,accounts,name,character varying(255),NO,null
COL,accounts,name_en,character varying(255),YES,null
COL,accounts,account_type,USER-DEFINED,NO,null
COL,accounts,parent_id,uuid,YES,null
COL,accounts,level,integer,YES,1
COL,accounts,is_group,boolean,YES,false
COL,accounts,is_active,boolean,YES,true
COL,accounts,currency_code,character varying(3),YES,'SAR'::character varying
COL,accounts,opening_balance,numeric,YES,0
COL,accounts,current_balance,numeric,YES,0
COL,accounts,account_category,character varying(50),YES,null
COL,accounts,created_at,timestamp with time zone,YES,now()
COL,accounts,updated_at,timestamp with time zone,YES,now()
COL,accounts,tenant_id,uuid,YES,null
COL,admin_expiring_subscriptions,tenant_id,uuid,YES,null
COL,admin_expiring_subscriptions,tenant_name,character varying(200),YES,null
COL,admin_expiring_subscriptions,owner_email,character varying(200),YES,null
COL,admin_expiring_subscriptions,status,character varying(20),YES,null
COL,admin_expiring_subscriptions,trial_ends_at,timestamp with time zone,YES,null
COL,admin_expiring_subscriptions,current_period_end,timestamp with time zone,YES,null
COL,admin_expiring_subscriptions,plan_name,character varying(100),YES,null
COL,admin_expiring_subscriptions,time_remaining,interval,YES,null
COL,admin_revenue_summary,month,timestamp with time zone,YES,null
COL,admin_revenue_summary,paying_customers,bigint,YES,null
COL,admin_revenue_summary,invoices_count,bigint,YES,null
COL,admin_revenue_summary,total_invoiced,numeric,YES,null
COL,admin_revenue_summary,total_collected,numeric,YES,null
COL,admin_revenue_summary,paid_invoices_amount,numeric,YES,null
COL,admin_revenue_summary,overdue_amount,numeric,YES,null
COL,admin_tenants_summary,id,uuid,YES,null
COL,admin_tenants_summary,code,character varying(50),YES,null
COL,admin_tenants_summary,name,character varying(200),YES,null
COL,admin_tenants_summary,owner_email,character varying(200),YES,null
COL,admin_tenants_summary,status,character varying(20),YES,null
COL,admin_tenants_summary,country,character varying(100),YES,null
COL,admin_tenants_summary,created_at,timestamp with time zone,YES,null
COL,admin_tenants_summary,last_activity_at,timestamp with time zone,YES,null
COL,admin_tenants_summary,subscription_status,character varying(20),YES,null
COL,admin_tenants_summary,plan_name,character varying(100),YES,null
COL,admin_tenants_summary,product_name,character varying(100),YES,null
COL,admin_tenants_summary,trial_ends_at,timestamp with time zone,YES,null
COL,admin_tenants_summary,current_period_end,timestamp with time zone,YES,null
COL,admin_tenants_summary,subscription_amount,numeric,YES,null
COL,admin_tenants_summary,modules_count,bigint,YES,null
COL,admin_tenants_summary,users_count,integer,YES,null
COL,admin_tenants_summary,storage_used_mb,integer,YES,null
COL,agent_bonuses,id,uuid,NO,gen_random_uuid()
COL,agent_bonuses,bonus_type,character varying(50),NO,null
COL,agent_bonuses,name_ar,character varying(200),NO,null
COL,agent_bonuses,name_en,character varying(200),YES,null
COL,agent_bonuses,description,text,YES,null
COL,agent_bonuses,condition_type,character varying(50),NO,null
COL,agent_bonuses,condition_value,numeric,NO,null
COL,agent_bonuses,condition_period,character varying(20),YES,null
COL,agent_bonuses,bonus_amount,numeric,YES,null
COL,agent_bonuses,bonus_percent,numeric,YES,null
COL,agent_bonuses,valid_from,date,YES,null
COL,agent_bonuses,valid_to,date,YES,null
COL,agent_bonuses,max_claims,integer,YES,null
COL,agent_bonuses,max_per_agent,integer,YES,1
COL,agent_bonuses,is_active,boolean,YES,true
COL,agent_bonuses,created_at,timestamp with time zone,YES,now()
COL,agent_bonuses,updated_at,timestamp with time zone,YES,now()
COL,agent_commission_rules,id,uuid,NO,uuid_generate_v4()
COL,agent_commission_rules,agent_id,uuid,YES,null
COL,agent_commission_rules,rule_id,uuid,YES,null
