type,from_table,from_col,to_table,to_col,constraint_name
CHECK,account_transfers,valid_transfer_type,((transfer_type)::text = ANY ((ARRAY['balance'::character varyi,,
CHECK,account_transfers,different_accounts,(source_account_id <> target_account_id),,
CHECK,bank_account_limits,valid_thresholds,((warning_threshold_percent >= 0) AND (warning_threshold_percen,,
CHECK,bank_account_limits,valid_fop_group,"((fop_group)::text = ANY ((ARRAY['group_1'::character varying, ",,
CHECK,budgets,chk_budget_dates,(end_date >= start_date),,
CHECK,budgets,chk_budget_status,"((status)::text = ANY ((ARRAY['draft'::character varying, 'pend",,
CHECK,budgets,chk_budget_type,((budget_type)::text = ANY ((ARRAY['revenue'::character varying,,
CHECK,category_customer_access,category_customer_access_check,(((customer_id IS NOT NULL) AND (customer_group_id IS NULL)) OR,,
CHECK,contact_interactions,contact_interactions_interaction_type_check,((interaction_type)::text = ANY ((ARRAY['call'::character varyi,,
CHECK,contact_interactions,contact_interactions_direction_check,"((direction)::text = ANY ((ARRAY['inbound'::character varying, ",,
CHECK,contact_interactions,contact_interactions_outcome_check,"((outcome)::text = ANY ((ARRAY['answered'::character varying, '",,
CHECK,contacts,contacts_priority_check,"((priority)::text = ANY ((ARRAY['low'::character varying, 'medi",,
CHECK,contacts,contacts_status_check,"((status)::text = ANY ((ARRAY['active'::character varying, 'ina",,
CHECK,contacts,contacts_lead_score_check,((lead_score >= 0) AND (lead_score <= 100)),,
CHECK,contacts,contacts_lifecycle_stage_check,((lifecycle_stage)::text = ANY ((ARRAY['new'::character varying,,
CHECK,contacts,contacts_contact_type_check,"((contact_type)::text = ANY ((ARRAY['lead'::character varying, ",,
CHECK,contacts,contacts_source_check,((source)::text = ANY ((ARRAY['phone_inbound'::character varyin,,
CHECK,journal_entries,chk_balanced_entry,(((status)::text <> 'posted'::text) OR (abs((total_debit - tota,,
CHECK,journal_entry_lines,chk_debit_or_credit,(((debit > (0)::numeric) AND (credit = (0)::numeric)) OR ((debi,,
CHECK,orders,orders_check,((customer_id IS NOT NULL) OR (guest_checkout_id IS NOT NULL)),,
CHECK,partners,partners_partner_type_check,((partner_type)::text = ANY ((ARRAY['whitelabel'::character var,,
CHECK,product_customer_access,product_customer_access_check,(((customer_id IS NOT NULL) AND (customer_group_id IS NULL)) OR,,
CHECK,product_reviews,product_reviews_rating_check,((rating >= 1) AND (rating <= 5)),,
CHECK,promotional_discounts,promotional_discounts_discount_percentage_check,((discount_percentage >= 0) AND (discount_percentage <= 100)),,
CHECK,purchase_invoices,purchase_invoices_receipt_mode_check,"(receipt_mode = ANY (ARRAY['direct'::text, 'international'::tex",,
CHECK,purchase_invoices,purchase_invoices_status_check,"((status)::text = ANY ((ARRAY['draft'::character varying, 'save",,
CHECK,purchase_orders,purchase_orders_receipt_mode_check,"(receipt_mode = ANY (ARRAY['direct'::text, 'international'::tex",,
CHECK,purchase_orders,purchase_orders_status_check,"((status)::text = ANY ((ARRAY['draft'::character varying, 'save",,
CHECK,quotations,quotations_status_check,"((status)::text = ANY ((ARRAY['draft'::character varying, 'save",,
CHECK,recurring_entries,chk_day_of_month,((day_of_month IS NULL) OR ((day_of_month >= 1) AND (day_of_mon,,
CHECK,recurring_entries,chk_status,"((status)::text = ANY ((ARRAY['active'::character varying, 'pau",,
CHECK,recurring_entries,chk_frequency,"((frequency)::text = ANY ((ARRAY['daily'::character varying, 'w",,
CHECK,recurring_entries,chk_day_of_week,"((day_of_week IS NULL) OR ((day_of_week >= 0) AND (day_of_week ",,
CHECK,recurring_entries,chk_amount_positive,(amount > (0)::numeric),,
CHECK,recurring_entry_history,chk_history_status,"((status)::text = ANY ((ARRAY['pending'::character varying, 'ex",,
CHECK,recurring_entry_history,chk_approval_status,((approval_status)::text = ANY ((ARRAY['pending'::character var,,
CHECK,recurring_entry_lines,chk_recurring_line_debit_or_credit,(((debit > (0)::numeric) AND (credit = (0)::numeric)) OR ((debi,,
CHECK,report_shares,chk_share_type,((template_id IS NOT NULL) OR (saved_report_id IS NOT NULL)),,
CHECK,review_votes,review_votes_vote_type_check,"((vote_type)::text = ANY ((ARRAY['helpful'::character varying, ",,
CHECK,reviews,reviews_features_rating_check,((features_rating >= 1) AND (features_rating <= 5)),,
CHECK,reviews,reviews_ease_of_use_rating_check,((ease_of_use_rating >= 1) AND (ease_of_use_rating <= 5)),,
CHECK,reviews,reviews_rating_check,((rating >= 1) AND (rating <= 5)),,
CHECK,reviews,reviews_support_rating_check,((support_rating >= 1) AND (support_rating <= 5)),,
CHECK,reviews,reviews_value_rating_check,((value_rating >= 1) AND (value_rating <= 5)),,
CHECK,saas_payments,saas_payments_amount_check,(amount > (0)::numeric),,
CHECK,sales_invoices,sales_invoices_status_check,"((status)::text = ANY ((ARRAY['draft'::character varying, 'save",,
CHECK,sales_orders,sales_orders_status_check,"((status)::text = ANY ((ARRAY['draft'::character varying, 'save",,
CHECK,shipments,shipments_status_check,"((status)::text = ANY ((ARRAY['ordered'::character varying, 'sh",,
CHECK,shopping_carts,shopping_carts_check,(((customer_id IS NOT NULL) AND (session_id IS NULL)) OR ((cust,,
CHECK,subscription_alerts,valid_alert_type,((alert_type)::text = ANY ((ARRAY['expiry_warning'::character v,,
CHECK,subscription_alerts,valid_alert_status,"((status)::text = ANY ((ARRAY['pending'::character varying, 'se",,
CHECK,support_tickets,support_tickets_satisfaction_rating_check,((satisfaction_rating >= 1) AND (satisfaction_rating <= 5)),,
CHECK,tax_payment_schedules,valid_frequency,"((frequency)::text = ANY ((ARRAY['monthly'::character varying, ",,
CHECK,tax_payment_schedules,valid_payment_day,((payment_day >= 1) AND (payment_day <= 31)),,
CHECK,tenant_subscriptions,valid_status,"((status)::text = ANY ((ARRAY['pending'::character varying, 'ac",,
CHECK,tenant_subscriptions,valid_dates,(end_date >= start_date),,
CHECK,user_resource_access,user_resource_access_resource_type_check,"(resource_type = ANY (ARRAY['branch'::text, 'warehouse'::text, ",,
CHECK,visibility_rules,visibility_rules_rule_type_check,"(rule_type = ANY (ARRAY['page'::text, 'field'::text, 'module'::",,
CHECK,warehouse_assignments,warehouse_assignments_role_check,"((role)::text = ANY ((ARRAY['manager'::character varying, 'staf",,
CHECK,warehouses,chk_warehouse_type,((warehouse_type)::text = ANY ((ARRAY['regular'::character vary,,
FK,account_invoice_items,sub_account_id,chart_of_accounts,id,account_invoice_items_sub_account_id_fkey
FK,account_invoice_items,invoice_id,account_invoices,id,account_invoice_items_invoice_id_fkey
FK,account_invoices,company_id,companies,id,account_invoices_company_id_fkey
FK,account_invoices,tenant_id,tenants,id,account_invoices_tenant_id_fkey
FK,account_invoices,account_id,chart_of_accounts,id,account_invoices_account_id_fkey
FK,account_invoices,branch_id,branches,id,account_invoices_branch_id_fkey
FK,account_invoices,journal_entry_id,journal_entries,id,account_invoices_journal_entry_id_fkey
FK,account_transfers,company_id,companies,id,account_transfers_company_id_fkey
FK,account_transfers,journal_entry_id,journal_entries,id,account_transfers_journal_entry_id_fkey
FK,account_transfers,target_account_id,chart_of_accounts,id,account_transfers_target_account_id_fkey
FK,account_transfers,source_account_id,chart_of_accounts,id,account_transfers_source_account_id_fkey
FK,account_transfers,tenant_id,tenants,id,account_transfers_tenant_id_fkey
FK,accounting_periods,fiscal_year_id,fiscal_years,id,accounting_periods_fiscal_year_id_fkey
FK,accounting_periods,company_id,companies,id,fk_accounting_periods_company_id
FK,accounts,parent_id,accounts,id,accounts_parent_id_fkey
FK,accounts,tenant_id,tenants,id,accounts_tenant_id_fkey
FK,accounts,company_id,companies,id,accounts_company_id_fkey
FK,agent_commission_rules,agent_id,agents,id,agent_commission_rules_agent_id_fkey
FK,agent_commission_rules,rule_id,commission_rules,id,agent_commission_rules_rule_id_fkey
FK,agent_commissions,tenant_id,tenants,id,agent_commissions_tenant_id_fkey
FK,agent_commissions,agent_id,agents,id,agent_commissions_agent_id_fkey
FK,agent_events,agent_id,agents,id,agent_events_agent_id_fkey
FK,agent_messages,agent_id,agents,id,agent_messages_agent_id_fkey
FK,agent_messages,reply_to_id,agent_messages,id,agent_messages_reply_to_id_fkey
FK,agent_targets,agent_id,agents,id,agent_targets_agent_id_fkey
FK,agent_withdrawals,agent_id,agents,id,agent_withdrawals_agent_id_fkey
FK,agents,company_id,companies,id,agents_company_id_fkey
FK,agents,account_id,accounts,id,agents_account_id_fkey
FK,announcements,tenant_id,tenants,id,announcements_tenant_id_fkey
FK,audit_logs,tenant_id,tenants,id,audit_logs_tenant_id_fkey
FK,bank_account_limits,tenant_id,tenants,id,bank_account_limits_tenant_id_fkey
FK,bank_account_limits,account_id,chart_of_accounts,id,bank_account_limits_account_id_fkey
FK,bank_account_limits,company_id,companies,id,bank_account_limits_company_id_fkey
FK,bank_integrations,account_id,accounts,id,bank_integrations_account_id_fkey
FK,bank_integrations,tenant_id,tenants,id,bank_integrations_tenant_id_fkey
FK,batches,product_id,products,id,batches_product_id_fkey
FK,batches,company_id,companies,id,batches_company_id_fkey
FK,billing_invoices,subscription_id,subscriptions,id,billing_invoices_subscription_id_fkey
FK,billing_invoices,tenant_id,tenants,id,billing_invoices_tenant_id_fkey
FK,billing_payments,tenant_id,tenants,id,billing_payments_tenant_id_fkey
FK,billing_payments,invoice_id,billing_invoices,id,billing_payments_invoice_id_fkey
FK,bin_locations,tenant_id,tenants,id,bin_locations_tenant_id_fkey
FK,bin_locations,warehouse_id,warehouses,id,bin_locations_warehouse_id_fkey
FK,bin_locations,company_id,companies,id,bin_locations_company_id_fkey
