function_name,routine_type,return_type,language
activate_subscription_from_payment,FUNCTION,jsonb,PLPGSQL
activate_subscription_on_payment,FUNCTION,trigger,PLPGSQL
activate_tenant,FUNCTION,jsonb,PLPGSQL
activate_white_label,FUNCTION,jsonb,PLPGSQL
add_bank_account,FUNCTION,uuid,PLPGSQL
add_module_to_plan,FUNCTION,jsonb,PLPGSQL
add_product_image,FUNCTION,jsonb,PLPGSQL
add_product_review,FUNCTION,jsonb,PLPGSQL
add_seller_response,FUNCTION,jsonb,PLPGSQL
add_to_cart,FUNCTION,jsonb,PLPGSQL
add_user_by_super_admin,FUNCTION,jsonb,PLPGSQL
add_white_label_domain,FUNCTION,jsonb,PLPGSQL
allocate_container_costs,FUNCTION,jsonb,PLPGSQL
apply_audit_trigger,FUNCTION,void,PLPGSQL
apply_auto_company_trigger,FUNCTION,void,PLPGSQL
apply_auto_tenant_trigger,FUNCTION,void,PLPGSQL
apply_brand_isolation_trigger,FUNCTION,void,PLPGSQL
apply_chart_template_to_company,FUNCTION,void,PLPGSQL
apply_coa_template,FUNCTION,jsonb,PLPGSQL
apply_comprehensive_rls,FUNCTION,void,PLPGSQL
apply_rls_to_table,FUNCTION,void,PLPGSQL
approve_delivery_note,FUNCTION,jsonb,PLPGSQL
approve_recurring_entry,FUNCTION,jsonb,PLPGSQL
approve_review,FUNCTION,jsonb,PLPGSQL
assign_available_tenant,FUNCTION,uuid,PLPGSQL
auto_audit_log,FUNCTION,trigger,PLPGSQL
auto_fill_purchase_invoice_item_tenant,FUNCTION,trigger,PLPGSQL
auto_fill_purchase_order_item_tenant,FUNCTION,trigger,PLPGSQL
auto_link_call_to_contact,FUNCTION,trigger,PLPGSQL
auto_set_brand_id,FUNCTION,trigger,PLPGSQL
auto_set_company_id,FUNCTION,trigger,PLPGSQL
auto_set_tenant_id,FUNCTION,trigger,PLPGSQL
auto_setup_chart_templates_for_new_tenant,FUNCTION,trigger,PLPGSQL
belongs_to_tenant,FUNCTION,boolean,PLPGSQL
calculate_next_execution_date,FUNCTION,date,PLPGSQL
calculate_next_run_date,FUNCTION,date,PLPGSQL
calculate_product_price,FUNCTION,jsonb,PLPGSQL
calculate_sales_commission,FUNCTION,record,PLPGSQL
can_access_company,FUNCTION,boolean,PLPGSQL
can_access_fund,FUNCTION,boolean,PLPGSQL
can_access_warehouse,FUNCTION,boolean,PLPGSQL
can_customer_access_category,FUNCTION,boolean,PLPGSQL
can_customer_access_product,FUNCTION,boolean,PLPGSQL
can_edit_journal_entry,FUNCTION,jsonb,PLPGSQL
can_enable_mfa,FUNCTION,record,PLPGSQL
can_user_see_module,FUNCTION,boolean,PLPGSQL
change_document_status,FUNCTION,uuid,PLPGSQL
change_subscription_plan,FUNCTION,jsonb,PLPGSQL
check_bank_limit,FUNCTION,jsonb,PLPGSQL
check_budget_threshold,FUNCTION,trigger,PLPGSQL
check_expired_subscriptions,FUNCTION,record,PLPGSQL
check_feature_access,FUNCTION,boolean,PLPGSQL
check_journal_entry_balance,FUNCTION,trigger,PLPGSQL
check_language_limit,FUNCTION,jsonb,PLPGSQL
check_plan_limits,FUNCTION,jsonb,PLPGSQL
check_product_availability,FUNCTION,jsonb,PLPGSQL
check_row_access,FUNCTION,boolean,PLPGSQL
check_subscription_access,FUNCTION,jsonb,PLPGSQL
check_user_module_permission,FUNCTION,boolean,PLPGSQL
check_white_label_validity,FUNCTION,jsonb,PLPGSQL
cleanup_expired_guest_checkouts,FUNCTION,integer,PLPGSQL
cleanup_expired_otps,FUNCTION,void,PLPGSQL
clear_cart,FUNCTION,boolean,PLPGSQL
confirm_delivery,FUNCTION,jsonb,PLPGSQL
convert_contact_to_customer,FUNCTION,json,PLPGSQL
convert_currency,FUNCTION,numeric,PLPGSQL
convert_guest_order_to_customer,FUNCTION,jsonb,PLPGSQL
convert_quotation_to_order,FUNCTION,jsonb,PLPGSQL
copy_demo_data_to_company,FUNCTION,void,PLPGSQL
copy_demo_data_to_tenant,FUNCTION,void,PLPGSQL
create_accounting_entry_for_payment,FUNCTION,jsonb,PLPGSQL
create_billing_invoice,FUNCTION,jsonb,PLPGSQL
create_budget_with_lines,FUNCTION,jsonb,PLPGSQL
create_company_rls_policies,FUNCTION,void,PLPGSQL
create_comprehensive_chart_of_accounts,FUNCTION,void,PLPGSQL
create_container_expense_journal_entry,FUNCTION,jsonb,PLPGSQL
create_container_journal_entry,FUNCTION,jsonb,PLPGSQL
create_default_chart_of_accounts,FUNCTION,void,PLPGSQL
create_default_company_for_tenant,FUNCTION,uuid,PLPGSQL
create_default_user_permissions,FUNCTION,void,PLPGSQL
create_extended_chart,FUNCTION,void,PLPGSQL
create_fabric_extended_chart,FUNCTION,void,PLPGSQL
create_monthly_targets,FUNCTION,integer,PLPGSQL
create_new_tenant,FUNCTION,uuid,PLPGSQL
create_order_from_cart,FUNCTION,jsonb,PLPGSQL
create_promotional_discount,FUNCTION,jsonb,PLPGSQL
create_purchase_journal_entry,FUNCTION,trigger,PLPGSQL
create_recurring_template,FUNCTION,uuid,PLPGSQL
create_shipment_document,FUNCTION,jsonb,PLPGSQL
create_simple_chart,FUNCTION,void,PLPGSQL
create_subscription_plan,FUNCTION,jsonb,PLPGSQL
create_super_admin_policy,FUNCTION,void,PLPGSQL
create_tenant,FUNCTION,jsonb,PLPGSQL
create_tenant_isolation_policies,FUNCTION,void,PLPGSQL
create_unified_extended_chart,FUNCTION,void,PLPGSQL
deduct_inventory,FUNCTION,void,PLPGSQL
deduct_inventory_on_sale,FUNCTION,trigger,PLPGSQL
