trigger_name,event,table_name,timing,action_statement
trg_auto_company_accounting_periods,INSERT,accounting_periods,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_accounting_periods,INSERT,accounting_periods,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_accounting_periods,INSERT,accounting_periods,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_accounting_periods,UPDATE,accounting_periods,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trigger_set_company_tenant_bin_locations,INSERT,bin_locations,BEFORE,EXECUTE FUNCTION set_company_tenant_from_warehouse()
trigger_set_company_tenant_bin_locations,UPDATE,bin_locations,BEFORE,EXECUTE FUNCTION set_company_tenant_from_warehouse()
trg_auto_company_branches,INSERT,branches,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_branches,INSERT,branches,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_branches,INSERT,branches,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_branches,UPDATE,branches,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_check_budget_threshold,UPDATE,budget_lines,BEFORE,EXECUTE FUNCTION check_budget_threshold()
trg_check_budget_threshold,INSERT,budget_lines,BEFORE,EXECUTE FUNCTION check_budget_threshold()
trg_update_budget_totals,DELETE,budget_lines,AFTER,EXECUTE FUNCTION update_budget_totals()
trg_update_budget_totals,INSERT,budget_lines,AFTER,EXECUTE FUNCTION update_budget_totals()
trg_update_budget_totals,UPDATE,budget_lines,AFTER,EXECUTE FUNCTION update_budget_totals()
trg_auto_link_call,INSERT,call_logs,BEFORE,EXECUTE FUNCTION auto_link_call_to_contact()
trg_audit_chart_of_accounts,UPDATE,chart_of_accounts,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_chart_of_accounts,DELETE,chart_of_accounts,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_chart_of_accounts,INSERT,chart_of_accounts,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_auto_company_chart_of_accounts,INSERT,chart_of_accounts,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_chart_of_accounts,INSERT,chart_of_accounts,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_chart_of_accounts,INSERT,chart_of_accounts,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_chart_of_accounts,UPDATE,chart_of_accounts,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_timestamp_chart_of_accounts,UPDATE,chart_of_accounts,BEFORE,EXECUTE FUNCTION update_updated_at()
trigger_set_tenant_commission_entries,INSERT,commission_entries,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_commission_entries,UPDATE,commission_entries,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_commission_rules,UPDATE,commission_rules,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_commission_rules,INSERT,commission_rules,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
on_company_created,INSERT,companies,AFTER,EXECUTE FUNCTION handle_new_company()
protect_company_sensitive,UPDATE,companies,BEFORE,EXECUTE FUNCTION protect_company_fields()
trg_audit_companies,INSERT,companies,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_companies,DELETE,companies,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_companies,UPDATE,companies,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_prevent_base_currency_change,UPDATE,companies,BEFORE,EXECUTE FUNCTION prevent_base_currency_change()
trg_protect_companies,UPDATE,companies,BEFORE,EXECUTE FUNCTION protect_companies()
trg_update_timestamp_companies,UPDATE,companies,BEFORE,EXECUTE FUNCTION update_updated_at()
update_companies_updated_at,UPDATE,companies,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_prevent_settings_base_currency_change,UPDATE,company_accounting_settings,BEFORE,EXECUTE FUNCTION prevent_settings_base_currency_change()
trg_cws_updated,UPDATE,company_workflow_settings,BEFORE,EXECUTE FUNCTION trg_set_updated_at()
trg_contact_interaction_stats,INSERT,contact_interactions,AFTER,EXECUTE FUNCTION update_contact_interaction_stats()
trg_contacts_updated_at,UPDATE,contacts,BEFORE,EXECUTE FUNCTION update_contacts_updated_at()
trg_auto_tenant_container_items,INSERT,container_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_container_items,INSERT,container_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_container_items,UPDATE,container_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_containers,INSERT,containers,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_containers,INSERT,containers,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_containers,INSERT,containers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_containers,UPDATE,containers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trigger_set_tenant_correspondents,INSERT,correspondents,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_correspondents,UPDATE,correspondents,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_currency_exchanges,UPDATE,currency_exchanges,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_currency_exchanges,INSERT,currency_exchanges,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trg_auto_tenant_customer_addresses,INSERT,customer_addresses,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_auto_company_customer_groups,INSERT,customer_groups,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_customer_groups,INSERT,customer_groups,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_customer_groups,UPDATE,customer_groups,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_customer_groups,INSERT,customer_groups,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_customers,INSERT,customers,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_customers,INSERT,customers,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_customers,INSERT,customers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_customers,UPDATE,customers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_timestamp_customers,UPDATE,customers,BEFORE,EXECUTE FUNCTION update_updated_at()
trg_delivery_notes_updated_at,UPDATE,delivery_notes,BEFORE,EXECUTE FUNCTION update_delivery_notes_timestamp()
trg_dar_updated,UPDATE,document_approval_requests,BEFORE,EXECUTE FUNCTION trg_set_updated_at()
trg_auto_company_fabric_rolls,INSERT,fabric_rolls,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_fabric_rolls,INSERT,fabric_rolls,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_fabric_rolls,INSERT,fabric_rolls,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_fabric_rolls,UPDATE,fabric_rolls,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_fiscal_years,INSERT,fiscal_years,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_fiscal_years,INSERT,fiscal_years,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_fiscal_years,INSERT,fiscal_years,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_fiscal_years,UPDATE,fiscal_years,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trigger_set_tenant_funds,UPDATE,funds,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_funds,INSERT,funds,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trg_gold_item_value,INSERT,gold_items,BEFORE,EXECUTE FUNCTION update_gold_item_value()
trg_gold_item_value,UPDATE,gold_items,BEFORE,EXECUTE FUNCTION update_gold_item_value()
trigger_set_tenant_gold_items,INSERT,gold_items,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
