           table_name           |               column_name               |        data_type         | is_nullable |                                                                                                                                                                                                                                                                                           column_default                                                                                                                                                                                                                                                                                            
--------------------------------+-----------------------------------------+--------------------------+-------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 _archived_shipment_documents   | id                                      | uuid                     | NO          | gen_random_uuid()
 _archived_shipment_documents   | tenant_id                               | uuid                     | NO          | 
 _archived_shipment_documents   | company_id                              | uuid                     | NO          | 
 _archived_shipment_documents   | carrier_id                              | uuid                     | YES         | 
 _archived_shipment_documents   | source_table                            | character varying        | NO          | 
 _archived_shipment_documents   | source_id                               | uuid                     | NO          | 
 _archived_shipment_documents   | carrier_code                            | character varying        | NO          | 
 _archived_shipment_documents   | tracking_number                         | character varying        | YES         | 
 _archived_shipment_documents   | carrier_ref                             | character varying        | YES         | 
 _archived_shipment_documents   | status                                  | character varying        | YES         | 'created'::character varying
 _archived_shipment_documents   | status_description                      | text                     | YES         | 
 _archived_shipment_documents   | last_status_check                       | timestamp with time zone | YES         | 
 _archived_shipment_documents   | sender_ref                              | character varying        | YES         | 
 _archived_shipment_documents   | sender_city_ref                         | character varying        | YES         | 
 _archived_shipment_documents   | sender_city_name                        | character varying        | YES         | 
 _archived_shipment_documents   | sender_address_ref                      | character varying        | YES         | 
 _archived_shipment_documents   | sender_address_name                     | character varying        | YES         | 
 _archived_shipment_documents   | sender_contact_ref                      | character varying        | YES         | 
 _archived_shipment_documents   | sender_contact_name                     | character varying        | YES         | 
 _archived_shipment_documents   | sender_phone                            | character varying        | YES         | 
 _archived_shipment_documents   | recipient_ref                           | character varying        | YES         | 
 _archived_shipment_documents   | recipient_city_ref                      | character varying        | YES         | 
 _archived_shipment_documents   | recipient_city_name                     | character varying        | YES         | 
 _archived_shipment_documents   | recipient_address_ref                   | character varying        | YES         | 
 _archived_shipment_documents   | recipient_address_name                  | character varying        | YES         | 
