 schemaname |           tablename            |                          policyname                           | permissive |      roles      |  cmd   |                                                                                                     qual                                                                                                     
------------+--------------------------------+---------------------------------------------------------------+------------+-----------------+--------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | _archived_shipment_documents   | shipment_documents_delete_policy                              | PERMISSIVE | {authenticated} | DELETE | (public.is_platform_admin() OR ((tenant_id = public.get_user_tenant_id()) AND public.can_access_company(company_id)))
 public     | _archived_shipment_documents   | shipment_documents_insert_policy                              | PERMISSIVE | {authenticated} | INSERT | 
 public     | _archived_shipment_documents   | shipment_documents_select_policy                              | PERMISSIVE | {authenticated} | SELECT | (public.is_platform_admin() OR public.check_row_access(tenant_id, company_id))
 public     | _archived_shipment_documents   | shipment_documents_update_policy                              | PERMISSIVE | {authenticated} | UPDATE | (public.is_platform_admin() OR ((tenant_id = public.get_user_tenant_id()) AND public.can_access_company(company_id)))
 public     | _archived_shipment_items       | shipment_item_delete_policy                                   | PERMISSIVE | {public}        | DELETE | (public.is_platform_admin() OR ((tenant_id = public.get_current_tenant_id_fallback()) AND public.is_tenant_admin()))
 public     | _archived_shipment_items       | shipment_item_insert_policy                                   | PERMISSIVE | {public}        | INSERT | 
 public     | _archived_shipment_items       | shipment_item_select_policy                                   | PERMISSIVE | {public}        | SELECT | (public.is_platform_admin() OR (tenant_id = public.get_current_tenant_id_fallback()))
 public     | _archived_shipment_items       | shipment_item_update_policy                                   | PERMISSIVE | {public}        | UPDATE | (public.is_platform_admin() OR (tenant_id = public.get_current_tenant_id_fallback()))
 public     | _archived_shipment_items       | shipment_items_read                                           | PERMISSIVE | {public}        | SELECT | (auth.uid() IS NOT NULL)
 public     | _archived_shipment_items       | shipment_items_write                                          | PERMISSIVE | {public}        | ALL    | (auth.uid() IS NOT NULL)
 public     | _archived_shipments            | Enable all access for authenticated users based on company_id | PERMISSIVE | {public}        | ALL    | public.can_access_company(company_id)
 public     | _archived_shipments            | shipment_delete_policy                                        | PERMISSIVE | {public}        | DELETE | (public.is_platform_admin() OR ((tenant_id = public.get_current_tenant_id_fallback()) AND public.is_tenant_admin()))
 public     | _archived_shipments            | shipment_insert_policy                                        | PERMISSIVE | {public}        | INSERT | 
