                  id                  |              product_id              |       code        |      name_ar      |      name_en      |                         description                         | max_users | max_companies | max_branches | max_warehouses | max_products | max_invoices_monthly | storage_gb |                                             included_modules                                              |                                                                                                                                                                                        features                                                                                                                                                                                         | price_monthly | price_yearly | currency | trial_days | is_popular | display_order | is_active |          created_at           | max_languages | additional_language_price | price_daily | billing_mode | minimum_days | grace_period_days | is_archived |        archived_at        |          updated_at           | max_customers | max_documents | max_images | max_records 
--------------------------------------+--------------------------------------+-------------------+-------------------+-------------------+-------------------------------------------------------------+-----------+---------------+--------------+----------------+--------------+----------------------+------------+-----------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+--------------+----------+------------+------------+---------------+-----------+-------------------------------+---------------+---------------------------+-------------+--------------+--------------+-------------------+-------------+---------------------------+-------------------------------+---------------+---------------+------------+-------------
 16644d23-83e1-4921-b6e5-e4e9fb0ef9dc | d346b9d4-db03-497c-821f-a0421acd18a8 | basic             | الأساسية          | Basic             |                                                             |         3 |             1 |            2 |              5 |          100 |                  500 |          5 | {core,exchange,accounting,customers}                                                                      | {}                                                                                                                                                                                                                                                                                                                                                                                      |         49.00 |       490.00 | USD      |         30 | f          |             1 | f         | 2026-01-19 15:23:56.202603+00 |             2 |                      0.00 |        1.63 | flexible     |            7 |                 3 | t           | 2026-01-28 10:48:30.12+00 | 2026-01-28 10:48:30.288994+00 |             0 |             0 |          0 |           0
 2da083aa-9587-4d9f-a239-8a74ec73c00b | 25fdcf30-ebd3-468d-993a-8ca5fdd8fb94 | starter           | المبتدئة          | Starter           |                                                             |         3 |             1 |            1 |              5 |          500 |                  500 |          5 | {core,inventory,fabric,sales,accounting}                                                                  | {}                                                                                                                                                                                                                                                                                                                                                                                      |         29.00 |       290.00 | USD      |         30 | f          |             1 | f         | 2026-01-19 15:23:56.202603+00 |             2 |                     20.00 |        0.97 | flexible     |            7 |                 3 | f           |                           | 2026-01-28 12:34:12.572654+00 |           100 |           500 |        200 |        5000
 2d22cbbb-1f4f-4538-a996-91218fbdbd1b | 25fdcf30-ebd3-468d-993a-8ca5fdd8fb94 | professional      | الاحترافية        | Professional      |                                                             |        10 |             2 |            5 |              5 |         5000 |                  500 |          5 | {core,inventory,fabric,sales,purchases,accounting,customers,suppliers,hr}                                 | {}                                                                                                                                                                                                                                                                                                                                                                                      |         79.00 |       790.00 | USD      |         30 | t          |             2 | t         | 2026-01-19 15:23:56.202603+00 |             3 |                     15.00 |        2.63 | flexible     |            7 |                 3 | f           |                           | 2026-01-28 12:34:12.722651+00 |          1000 |          5000 |       2000 |       50000
 28150e12-f953-40b3-8e51-cfe74c2cf865 | d346b9d4-db03-497c-821f-a0421acd18a8 | professional      | الاحترافية        | Professional      |                                                             |        15 |             3 |           10 |              5 |          500 |                  500 |          5 | {core,exchange,accounting,customers,suppliers,analytics}                                                  | {}                                                                                                                                                                                                                                                                                                                                                                                      |        149.00 |      1490.00 | USD      |         30 | t          |             2 | t         | 2026-01-19 15:23:56.202603+00 |             3 |                     15.00 |        4.97 | flexible     |            7 |                 3 | f           |                           | 2026-01-28 12:34:12.722651+00 |          1000 |          5000 |       2000 |       50000
 c4803ae8-0206-4a04-be62-31b0aa149063 | 20917ba4-ee11-43de-be7a-f351d8aead89 | indu-starter      | تصنيع مبتدئ       | Mfg Starter       | Basic manufacturing management                              |        10 |             1 |            3 |              5 |         3000 |                  500 |         20 | {core,users,companies,accounting,inventory,manufacturing,sales,purchases}                                 | {}                                                                                                                                                                                                                                                                                                                                                                                      |        449.00 |      4308.00 | USD      |         30 | t          |             1 | t         | 2026-01-27 20:07:58.3161+00   |             2 |                      0.00 |       14.97 | flexible     |            7 |                 3 | f           |                           | 2026-01-28 10:40:46.295804+00 |             0 |             0 |          0 |           0
 f8f2eb5b-eda4-40ff-965e-e7a7560ce3e8 | 20917ba4-ee11-43de-be7a-f351d8aead89 | indu-professional | تصنيع محترف       | Mfg Pro           | Advanced production planning and control                    |        40 |             3 |           15 |             20 |        20000 |                  500 |        150 | {core,users,companies,accounting,inventory,manufacturing,sales,purchases,hr,crm,projects}                 | {}                                                                                                                                                                                                                                                                                                                                                                                      |       1299.00 |     12468.00 | USD      |         30 | t          |             2 | t         | 2026-01-27 20:07:58.3161+00   |             2 |                      0.00 |       43.30 | flexible     |            7 |                 3 | f           |                           | 2026-01-28 10:40:54.668488+00 |             0 |             0 |          0 |           0
 3878ce3c-2300-40b3-ba32-f2545e902741 | d346b9d4-db03-497c-821f-a0421acd18a8 | fin-starter       | صرافة أساسي       | Exchange Basic    | Essential currency exchange management                      |         5 |             1 |            5 |              1 |          500 |                  500 |         10 | {core,users,companies,accounting,exchange,sales}                                                          | {}                                                                                                                                                                                                                                                                                                                                                                                      |        399.00 |      3828.00 | EUR      |         30 | f          |             1 | f         | 2026-01-27 20:07:58.3161+00   |             2 |                      0.00 |       13.30 | flexible     |            7 |                 3 | f           |                           | 2026-01-29 09:22:21.083258+00 |             0 |             0 |          0 |           0
 2490cd62-0e91-43f4-8953-1707e25767ee | 63a42c43-9bf7-4802-aa18-d050724c268d | med-starter       | عيادة أساسي       | Clinic Basic      | Essential healthcare management for clinics                 |        12 |             2 |            3 |              2 |         1000 |                  500 |         25 | {core,users,companies,accounting,inventory,healthcare,sales}                                              | {}                                                                                                                                                                                                                                                                                                                                                                                      |        499.00 |      4788.00 | EUR      |         30 | t          |             1 | f         | 2026-01-27 20:07:58.3161+00   |             2 |                      0.00 |       16.63 | flexible     |            7 |                 3 | f           |                           | 2026-01-29 09:44:36.765382+00 |             0 |             0 |          0 |           0
 75a33dc3-c58b-48c1-8fb4-2640ab6bbe77 | f304226a-61d3-40bf-9fcd-95b14be9c4bc | starter           | الباقة الأساسية   | Starter Plan      | مثالية للشركات الصغيرة والمشاريع الناشئة                    |         5 |             3 |           50 |              5 |         1000 |                  500 |         10 | {accounting,sales,purchases,inventory}                                                                    | {"api_access": false, "export_pdf": true, "mobile_app": false, "white_label": false, "export_excel": true, "custom_fields": false, "multi_currency": false, "advanced_reports": false, "priority_support": false, "sms_notifications": false, "email_notifications": true}                                                                                                              |         99.00 |      1188.00 | USD      |         30 | f          |             1 | t         | 2026-01-24 23:11:53.707952+00 |             2 |                      0.00 |        3.30 | flexible     |            7 |                 3 | f           |                           | 2026-01-29 09:45:01.658538+00 |           100 |           500 |        200 |        5000
