                         constraint_name                         |           table_name           |              column_name              |       foreign_table_name       | foreign_column_name 
-----------------------------------------------------------------+--------------------------------+---------------------------------------+--------------------------------+---------------------
 shipment_documents_carrier_id_fkey                              | _archived_shipment_documents   | carrier_id                            | shipping_carriers              | id
 shipment_documents_company_id_fkey                              | _archived_shipment_documents   | company_id                            | companies                      | id
 shipment_items_tenant_id_fkey                                   | _archived_shipment_items       | tenant_id                             | tenants                        | id
 shipment_items_product_id_fkey                                  | _archived_shipment_items       | product_id                            | products                       | id
 shipment_items_shipment_id_fkey                                 | _archived_shipment_items       | shipment_id                           | _archived_shipments            | id
 shipment_items_unit_id_fkey                                     | _archived_shipment_items       | unit_id                               | units_of_measure               | id
 shipment_items_color_id_fkey                                    | _archived_shipment_items       | color_id                              | fabric_colors                  | id
 shipment_items_purchase_invoice_id_fkey                         | _archived_shipment_items       | purchase_invoice_id                   | purchase_invoices              | id
 shipment_items_supplier_id_fkey                                 | _archived_shipment_items       | supplier_id                           | suppliers                      | id
 shipments_created_by_fkey                                       | _archived_shipments            | created_by                            | user_profiles                  | id
 shipments_branch_id_fkey                                        | _archived_shipments            | branch_id                             | branches                       | id
 shipments_supplier_id_fkey                                      | _archived_shipments            | supplier_id                           | suppliers                      | id
 shipments_company_id_fkey                                       | _archived_shipments            | company_id                            | companies                      | id
 shipments_tenant_id_fkey                                        | _archived_shipments            | tenant_id                             | tenants                        | id
 shipments_tracking_tenant_id_fkey                               | _archived_shipments_tracking   | tenant_id                             | tenants                        | id
 shipments_tracking_shipment_id_fkey                             | _archived_shipments_tracking   | shipment_id                           | _archived_shipments            | id
 transit_reservations_company_id_fkey                            | _archived_transit_reservations | company_id                            | companies                      | id
 transit_reservations_branch_id_fkey                             | _archived_transit_reservations | branch_id                             | branches                       | id
 transit_reservations_customer_id_fkey                           | _archived_transit_reservations | customer_id                           | customers                      | id
 transit_reservations_sales_order_id_fkey                        | _archived_transit_reservations | sales_order_id                        | sales_orders                   | id
 transit_reservations_shipment_id_fkey                           | _archived_transit_reservations | shipment_id                           | _archived_shipments            | id
 transit_reservations_shipping_address_id_fkey                   | _archived_transit_reservations | shipping_address_id                   | customer_addresses             | id
 transit_reservations_created_by_fkey                            | _archived_transit_reservations | created_by                            | user_profiles                  | id
 transit_reservations_product_id_fkey                            | _archived_transit_reservations | product_id                            | products                       | id
 transit_reservations_shipment_item_id_fkey                      | _archived_transit_reservations | shipment_item_id                      | _archived_shipment_items       | id
 transit_reservations_tenant_id_fkey                             | _archived_transit_reservations | tenant_id                             | tenants                        | id
 uom_tenant_id_fkey                                              | _deprecated_uom_table          | tenant_id                             | tenants                        | id
 account_invoice_items_invoice_id_fkey                           | account_invoice_items          | invoice_id                            | account_invoices               | id
 account_invoice_items_sub_account_id_fkey                       | account_invoice_items          | sub_account_id                        | chart_of_accounts              | id
 account_invoices_account_id_fkey                                | account_invoices               | account_id                            | chart_of_accounts              | id
 account_invoices_journal_entry_id_fkey                          | account_invoices               | journal_entry_id                      | journal_entries                | id
 account_invoices_tenant_id_fkey                                 | account_invoices               | tenant_id                             | tenants                        | id
 account_invoices_company_id_fkey                                | account_invoices               | company_id                            | companies                      | id
 account_invoices_branch_id_fkey                                 | account_invoices               | branch_id                             | branches                       | id
 account_transfers_company_id_fkey                               | account_transfers              | company_id                            | companies                      | id
 account_transfers_tenant_id_fkey                                | account_transfers              | tenant_id                             | tenants                        | id
 account_transfers_source_account_id_fkey                        | account_transfers              | source_account_id                     | chart_of_accounts              | id
 account_transfers_target_account_id_fkey                        | account_transfers              | target_account_id                     | chart_of_accounts              | id
 account_transfers_journal_entry_id_fkey                         | account_transfers              | journal_entry_id                      | journal_entries                | id
 fk_accounting_periods_company_id                                | accounting_periods             | company_id                            | companies                      | id
 accounting_periods_fiscal_year_id_fkey                          | accounting_periods             | fiscal_year_id                        | fiscal_years                   | id
 accounts_tenant_id_fkey                                         | accounts_archived              | tenant_id                             | tenants                        | id
 accounts_parent_id_fkey                                         | accounts_archived              | parent_id                             | accounts_archived              | id
 accounts_company_id_fkey                                        | accounts_archived              | company_id                            | companies                      | id
 agent_commission_rules_rule_id_fkey                             | agent_commission_rules         | rule_id                               | commission_rules               | id
 agent_commission_rules_agent_id_fkey                            | agent_commission_rules         | agent_id                              | agents                         | id
 agent_commissions_agent_id_fkey                                 | agent_commissions              | agent_id                              | agents                         | id
 agent_commissions_tenant_id_fkey                                | agent_commissions              | tenant_id                             | tenants                        | id
 agent_events_agent_id_fkey                                      | agent_events                   | agent_id                              | agents                         | id
 agent_messages_agent_id_fkey                                    | agent_messages                 | agent_id                              | agents                         | id
 agent_messages_reply_to_id_fkey                                 | agent_messages                 | reply_to_id                           | agent_messages                 | id
 agent_targets_agent_id_fkey                                     | agent_targets                  | agent_id                              | agents                         | id
 agent_withdrawals_agent_id_fkey                                 | agent_withdrawals              | agent_id                              | agents                         | id
 agents_account_id_fkey                                          | agents                         | account_id                            | accounts_archived              | id
 agents_company_id_fkey                                          | agents                         | company_id                            | companies                      | id
 announcements_tenant_id_fkey                                    | announcements                  | tenant_id                             | tenants                        | id
 audit_logs_tenant_id_fkey                                       | audit_logs                     | tenant_id                             | tenants                        | id
 bank_account_limits_company_id_fkey                             | bank_account_limits            | company_id                            | companies                      | id
 bank_account_limits_tenant_id_fkey                              | bank_account_limits            | tenant_id                             | tenants                        | id
 bank_account_limits_account_id_fkey                             | bank_account_limits            | account_id                            | chart_of_accounts              | id
 bank_integrations_account_id_fkey                               | bank_integrations              | account_id                            | accounts_archived              | id
 bank_integrations_tenant_id_fkey                                | bank_integrations              | tenant_id                             | tenants                        | id
 batches_company_id_fkey                                         | batches                        | company_id                            | companies                      | id
 batches_product_id_fkey                                         | batches                        | product_id                            | products                       | id
 billing_invoices_subscription_id_fkey                           | billing_invoices               | subscription_id                       | subscriptions                  | id
 billing_invoices_tenant_id_fkey                                 | billing_invoices               | tenant_id                             | tenants                        | id
 billing_payments_invoice_id_fkey                                | billing_payments               | invoice_id                            | billing_invoices               | id
 billing_payments_tenant_id_fkey                                 | billing_payments               | tenant_id                             | tenants                        | id
 bin_locations_warehouse_id_fkey                                 | bin_locations                  | warehouse_id                          | warehouses                     | id
 bin_locations_tenant_id_fkey                                    | bin_locations                  | tenant_id                             | tenants                        | id
 bin_locations_company_id_fkey                                   | bin_locations                  | company_id                            | companies                      | id
 branches_tenant_id_fkey                                         | branches                       | tenant_id                             | tenants                        | id
 branches_company_id_fkey                                        | branches                       | company_id                            | companies                      | id
 budget_alerts_budget_id_fkey                                    | budget_alerts                  | budget_id                             | budgets                        | id
 budget_alerts_tenant_id_fkey                                    | budget_alerts                  | tenant_id                             | tenants                        | id
 budget_alerts_budget_line_id_fkey                               | budget_alerts                  | budget_line_id                        | budget_lines                   | id
 budget_alerts_acknowledged_by_fkey                              | budget_alerts                  | acknowledged_by                       | user_profiles                  | id
 budget_lines_tenant_id_fkey                                     | budget_lines                   | tenant_id                             | tenants                        | id
 budget_lines_budget_id_fkey                                     | budget_lines                   | budget_id                             | budgets                        | id
 budget_lines_account_id_fkey                                    | budget_lines                   | account_id                            | chart_of_accounts              | id
 budget_lines_cost_center_id_fkey                                | budget_lines                   | cost_center_id                        | cost_centers                   | id
 budgets_created_by_fkey                                         | budgets                        | created_by                            | user_profiles                  | id
 budgets_approved_by_fkey                                        | budgets                        | approved_by                           | user_profiles                  | id
 budgets_cost_center_id_fkey                                     | budgets                        | cost_center_id                        | cost_centers                   | id
 budgets_fiscal_year_id_fkey                                     | budgets                        | fiscal_year_id                        | fiscal_years                   | id
 budgets_company_id_fkey                                         | budgets                        | company_id                            | companies                      | id
 budgets_tenant_id_fkey                                          | budgets                        | tenant_id                             | tenants                        | id
 call_analyses_call_id_fkey                                      | call_analyses                  | call_id                               | call_logs                      | id
 call_logs_tenant_id_fkey                                        | call_logs                      | tenant_id                             | tenants                        | id
 call_logs_contact_id_fkey                                       | call_logs                      | contact_id                            | contacts                       | id
