           tablename            | columns 
--------------------------------+---------
 _archived_shipment_documents   |      60
 _archived_shipment_items       |      36
 _archived_shipments            |      27
 _archived_shipments_tracking   |      10
 _archived_transit_reservations |      27
 _backup_accounts               |      17
 _backup_uom                    |       9
 _deprecated_uom_table          |       9
 account_invoice_items          |      20
 account_invoices               |      37
 account_transfers              |      12
 account_types                  |      17
 accounting_periods             |      13
 accounts_archived              |      17
 agent_bonuses                  |      17
 agent_commission_rules         |       6
 agent_commissions              |      24
 agent_events                   |       8
 agent_messages                 |      13
 agent_targets                  |      18
 agent_tiers                    |      19
 agent_withdrawals              |      29
 agents                         |      26
 announcements                  |      21
 audit_logs                     |      17
 bank_account_limits            |      17
 bank_integrations              |       7
 batches                        |      13
 billing_invoices               |      20
 billing_payments               |      15
 bin_locations                  |      12
 branches                       |      21
 budget_alerts                  |      19
 budget_lines                   |      17
 budgets                        |      24
 business_industries            |      22
 call_analyses                  |       9
 call_logs                      |      14
 cash_accounts                  |      21
 cash_transactions              |      28
 category_customer_access       |      13
 changelog                      |      13
 chart_of_accounts              |      37
 chart_templates                |      12
 coa_template_cash_accounts     |      12
 coa_template_items             |      28
 coa_templates                  |      21
 commission_entries             |      19
 commission_rules               |      16
 companies                      |      49
 company_accounting_settings    |      73
 company_countries              |       6
 company_workflow_settings      |      23
 contact_interactions           |      16
 contacts                       |      50
 container_cost_allocations     |      14
 container_expense_allocations  |       7
 container_expenses             |      47
 container_items                |      42
 container_quotation_items      |      18
 container_quotations           |      27
 container_reservations         |      41
 containers                     |      64
 correspondents                 |      15
 cost_centers                   |      20
 countries                      |      19
 country_configurations         |      17
 coupon_usage                   |      10
 currencies                     |      23
 currency_exchanges             |      22
 custom_statuses                |      19
 customer_addresses             |      19
 customer_groups                |      22
 customers                      |      38
 delivery_note_items            |      25
 delivery_notes                 |      42
 document_approval_requests     |      19
 document_sequences             |      10
 documents                      |      12
 employee_commissions           |      28
 employee_incentive_assignments |      16
 employee_targets               |      23
 exchange_rates                 |      16
 fabric_colors                  |      21
 fabric_groups                  |      20
 fabric_materials               |      49
 fabric_rolls                   |      34
 fiscal_years                   |      13
 funds                          |      21
 gold_items                     |      26
 gold_prices                    |      14
 guest_checkouts                |      19
 in_app_notifications           |      16
 incentive_plan_tiers           |      11
 incentive_plans                |      23
 inventory_movements            |      22
 inventory_stock                |      16
 journal_entries                |      42
 journal_entry_lines            |      22
 marketing_materials            |      16
 mfa_company_settings           |      12
 mfa_pending_otps               |      10
 mfa_system_settings            |      18
 mfa_user_settings              |      15
 mfa_verification_log           |       9
 module_features                |      13
 modules                        |      24
 notification_preferences       |       4
 notifications                  |      21
 order_items                    |      16
 orders                         |      27
 partner_allowed_products       |       9
 partners                       |      15
 payment_receipts               |      18
 payment_vouchers               |      25
 plan_module_features           |       8
 plan_modules                   |       8
 plan_ui_tabs                   |       6
 price_list_items               |      11
 price_lists                    |      22
 product_categories             |      19
 product_customer_access        |      13
 product_review_stats           |      14
 product_reviews                |      22
 product_uom_conversions        |       9
 product_variants               |       6
 products                       |      55
 promotional_discounts          |      23
 purchase_invoice_items         |      24
 purchase_invoices              |      50
 purchase_order_items           |      20
 purchase_orders                |      31
 purchase_quotation_items       |      23
 purchase_quotations            |      22
 purchase_receipt_items         |      14
 purchase_receipts              |      21
 purchase_request_items         |      16
 purchase_requests              |      15
 purchase_return_items          |      24
 purchase_returns               |      17
 purchase_transaction_items     |      30
 purchase_transactions          |      88
