                  trigger_name                   | event_manipulation |       event_object_table       |                       action_statement                       
-------------------------------------------------+--------------------+--------------------------------+--------------------------------------------------------------
 trg_auto_tenant_shipment_documents              | INSERT             | _archived_shipment_documents   | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_tenant_transit_reservations            | INSERT             | _archived_transit_reservations | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_tenant_accounting_periods              | INSERT             | accounting_periods             | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_accounting_periods          | INSERT             | accounting_periods             | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_accounting_periods          | UPDATE             | accounting_periods             | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_accounting_periods             | INSERT             | accounting_periods             | EXECUTE FUNCTION auto_set_company_id()
 trigger_set_company_tenant_bin_locations        | INSERT             | bin_locations                  | EXECUTE FUNCTION set_company_tenant_from_warehouse()
 trigger_set_company_tenant_bin_locations        | UPDATE             | bin_locations                  | EXECUTE FUNCTION set_company_tenant_from_warehouse()
 trg_brand_isolation_branches                    | INSERT             | branches                       | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_branches                       | INSERT             | branches                       | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_branches                        | INSERT             | branches                       | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_branches                    | UPDATE             | branches                       | EXECUTE FUNCTION enforce_brand_isolation()
 trg_update_budget_totals                        | INSERT             | budget_lines                   | EXECUTE FUNCTION update_budget_totals()
 trg_check_budget_threshold                      | UPDATE             | budget_lines                   | EXECUTE FUNCTION check_budget_threshold()
 trg_check_budget_threshold                      | INSERT             | budget_lines                   | EXECUTE FUNCTION check_budget_threshold()
 trg_update_budget_totals                        | DELETE             | budget_lines                   | EXECUTE FUNCTION update_budget_totals()
 trg_update_budget_totals                        | UPDATE             | budget_lines                   | EXECUTE FUNCTION update_budget_totals()
 trg_auto_link_call                              | INSERT             | call_logs                      | EXECUTE FUNCTION auto_link_call_to_contact()
 trg_audit_chart_of_accounts                     | UPDATE             | chart_of_accounts              | EXECUTE FUNCTION auto_audit_log()
 trg_auto_company_chart_of_accounts              | INSERT             | chart_of_accounts              | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_chart_of_accounts           | INSERT             | chart_of_accounts              | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_chart_of_accounts               | INSERT             | chart_of_accounts              | EXECUTE FUNCTION auto_set_tenant_id()
 trg_audit_chart_of_accounts                     | INSERT             | chart_of_accounts              | EXECUTE FUNCTION auto_audit_log()
